y,c,M
0.0099564337665649,9.9564337665649e-06,52.37598935452729
0.0245651579503816,2.45651579503816e-05,66.17831196339716
0.0375079749904299,3.7507974990429895e-05,60.41232541606678
0.0560892469786178,5.60892469786178e-05,125.85120837055024
0.0714668513826353,7.14668513826353e-05,220.0838012602005
0.0807574873767293,8.07574873767293e-05,304.1430836629663
0.0919703239213254,9.197032392132539e-05,391.0706737271919
0.1043578385801173,0.0001043578385801173,494.1629452475133
0.1141213969318746,0.0001141213969318746,585.1769323087152
0.1342587360323737,0.0001342587360323737,650.7680646417513
0.1609132503326708,0.0001609132503326708,614.8358594943402
0.1780849085838238,0.0001780849085838238,642.4540370039556
0.1880803514464353,0.00018808035144643532,758.0244684656221
0.2008950217831165,0.0002008950217831165,867.3845803484082
0.2239614283891429,0.0002239614283891429,916.8934456432938
0.2415358334223057,0.0002415358334223057,1025.175106676076
0.2534351701635099,0.0002534351701635099,1073.556565012122
0.277441319260893,0.000277441319260893,1143.1787942503104
0.3059753185439033,0.00030597531854390333,1182.4752982273562
0.3341675932846022,0.00033416759328460223,1160.3130947602865
0.362359868025301,0.00036235986802530103,1138.816322174699
0.389346056146077,0.000389346056146077,1166.275458889438
0.4161814834393625,0.0004161814834393625,1179.0200903141772
0.4462959587305638,0.00044629595873056383,1195.6834915571435
0.4736339221154838,0.0004736339221154838,1187.104539637981
0.4985615070323138,0.0004985615070323138,1146.7434661500174
0.5246790256232644,0.0005246790256232644,1079.0453446107294
0.5394586120782368,0.0005394586120782368,980.0411152469665
0.5604943863078352,0.0005604943863078353,907.3855803759848
0.5809781439690843,0.0005809781439690843,812.262463843672
0.5999804694111918,0.0005999804694111917,765.4979923422732
0.6188363414780228,0.0006188363414780228,724.2546715171969
0.6401534438793592,0.0006401534438793592,655.799432133422
0.6673490220383163,0.0006673490220383163,618.1419191422051
0.6943452608809249,0.0006943452608809249,614.2876763743817
0.713087537701548,0.0007130875377015479,554.3461836007557
0.7391111759237317,0.0007391111759237317,523.1468093575431
0.7506443792267448,0.0007506443792267448,418.5198257350662
0.772035021250282,0.000772035021250282,349.5242868874566
0.7929327913377932,0.0007929327913377931,239.79669407025267
0.8108733298091471,0.000810873329809147,155.18552653165398
0.8365026704825096,0.0008365026704825096,130.26914751702316
0.8646949452232084,0.0008646949452232085,122.41370800183608
