c,OCV
0.000010281060651508804,4.4
0.000024865016811249495,4.375663160951585
0.00003810612585666582,4.357541492426355
0.00005319081673103583,4.33870458135861
0.00006887744913573063,4.314239872941853
0.00008397562442862279,4.290323812420272
0.00009907330647506145,4.265534902974546
0.00011417306015660481,4.244411959010231
0.000129273898980346,4.225209282679035
0.00014437838782784316,4.212465688386514
0.00015948554020618936,4.204435478284378
0.0001745914101437564,4.194135860979463
0.0001896985625221025,4.186105650877327
0.00020480374191463464,4.174584045078609
0.00021990931590432956,4.163760718419208
0.00023501222636317548,4.148224007569422
0.0002501140516798237,4.130767029086517
0.0002652150878021462,4.1119134923249785
0.00028031553202872457,4.092012536854466
0.00029541617355388427,4.072460720953612
0.00031051691372833474,4.053083474837587
0.00032561933094072716,4.036673915063656
0.00034072016976446825,4.01747123873246
0.0003558222910289886,4.000537969604042
0.0003709255960849973,3.9856995378935722
0.0003860283092452619,3.969813687474128
0.0004011286548225495,3.949738162218787
0.00041622909904912784,3.929837206748275
0.000431330924365776,3.9123802282653695
0.0004464342294217847,3.8975417965548997
0.0004615348709469445,3.8779899806540454
0.00047663600571855763,3.8593110136773365
0.0004917397053717293,3.8451708611061832
0.0005068416293376682,3.827888452408107
0.0005219456249387119,3.814272009191441
0.0005370511989284067,3.8034486825320393
0.0005521569702166831,3.792974495442296
0.0005672625442063779,3.7821511687828946
0.0005823693019875612,3.773422679541442
0.0005974778354559773,3.7678364464269123
0.0006125843959385792,3.758758817615801
0.0006276922388619604,3.751950596007468
0.0006427993912403065,3.743920385905332
0.0006579063463200713,3.735541036233537
0.0006730136959969988,3.7278599657010587
0.0006881203551288915,3.718956906674777
0.0007032260277678771,3.708308149800205
0.000718333969340549,3.7016744979767005
0.0007334393460316625,3.6905020317476414
0.0007485448213720666,3.679504135303411
0.0007636500007645987,3.667982529504693
0.000778755476105003,3.6569846330604627
0.0007938612473932793,3.646510445970719
0.0008089681038237534,3.637956526514096
0.0008240747629556459,3.629053467487814
0.0008391823099311549,3.6217215365249937
0.0008542884758165942,3.6119456285745666
0.000869396121441394,3.604788267396575
0.0008845045562605191,3.5990274644972167
0.0008996119059374468,3.591346393964738
0.0009147177758750138,3.581046776659824
0.0009298249282533599,3.5730165665576874
0.0009449282333093686,3.5581781348472177
0.0009600299599767262,3.540546586579483
0.0009730654895814584,3.5131609515844255
0.0009792250008528217,3.473267391506366
0.0009812538744575759,3.4268562401263827
0.0009843584398184252,3.320695102685624
0.0009843884356190132,3.3737756714060034
0.000988851040800812,3.2690905711703033
0.0009890477833103364,3.218957345971564
0.0009906063151158837,3.1769352290679307
0.0009924732175975756,3.1469588018461727
